interval_qps l0_files total_mem_size pending_bytes
7.57 11 24.74 68.92
9.12 8 34.26 68.73
67.68 9 39.92 68.76
87.27 10 66.04 68.77
6.9 11 8.24 69.11
8.14 11 16.74 68.75
21.97 11 39.68 68.4
72.64 12 50.53 68.75
28.28 12 80.07 68.36
110.73 14 65.68 69.05
7.05 15 8.03 69.4
7.78 15 16.15 68.87
40.74 15 58.69 68.62
64.95 16 61.51 68.83
7.25 16 69.08 68.83
8.49 3 12.94 68.86
70.37 3 86.43 68.71
47.08 5 5.56 69.25
8.36 5 14.3 68.95
30.29 5 45.93 68.6
52.34 6 35.59 68.8
70.08 6 108.78 68.64
25.9 8 5.79 69.17
7.88 8 14.03 69.01
8.11 8 22.5 68.85
102.97 9 65.02 69.03
6.54 10 6.83 69.22
8.04 7 15.24 69.02
50.74 7 68.23 68.69
62.66 8 68.9 68.93
7.05 9 11.25 68.93
7.7 9 19.29 68.73
92.54 10 50.92 68.96
75.75 10 130.03 68.71
6.96 12 7.27 69.28
7.59 12 15.19 69.03
8.11 12 23.67 68.89
19.18 12 43.7 68.61
86.73 14 4.25 69.2
7.03 14 11.58 68.9
100.47 14 116.52 68.6
12.94 14 130.03 68.6
5.59 3 5.84 69.16
7.94 3 14.13 68.84
113.52 4 67.68 69.04
7.54 5 10.54 69.08
8.13 5 19.06 69.08
8.1 5 27.56 68.75
8.03 5 35.98 68.75
93.3 7 3.5 69.13
7.43 7 11.27 68.97
49.99 7 63.47 68.63
68.7 9 5.18 69.17
7.9 7 13.43 68.81
111.64 7 130.03 68.57
5.95 9 6.22 69.16
7.51 9 14.06 68.91
8.11 9 22.53 68.78
105.3 10 67.49 68.78
6.79 11 9.56 69.14
8.06 11 17.97 68.87
7.15 11 25.44 68.72
94.45 12 59.07 68.8
70.18 13 67.35 68.81
11.53 14 14.38 68.7
113.26 16 2.83 69.28
7.5 16 10.67 68.94
8.31 16 19.35 68.94
105.98 16 130.03 68.6
6.77 18 7.07 69.16
8.12 18 15.55 68.99
25.8 18 42.49 68.66
80.89 19 61.94 69.02
7.26 20 4.52 69.08
6.87 6 11.69 69.04
113.84 7 65.57 69.03
6.99 8 7.85 69.28
8.06 8 16.27 68.93
8.71 8 25.37 68.65
99.53 9 64.3 68.88
7.56 10 7.18 68.88
7.9 10 15.43 68.88
111.91 11 67.28 69.02
8.09 12 10.72 69.09
33.04 12 45.23 68.59
84.44 13 68.4 68.98
8.36 14 12.11 68.85
8.12 14 20.59 68.85
89.44 15 48.99 68.88
8.02 15 57.37 68.88
71.05 16 66.55 68.9
7.43 17 9.3 69.27
8.1 17 17.75 68.91
8.12 17 26.23 68.73
101.44 18 67.16 68.92
8.02 19 10.52 69.11
26.76 5 38.47 68.71
91.83 7 4.34 69.34
6.63 7 11.26 69.04
7.75 7 19.36 68.92
8.12 7 27.84 68.79
97.85 7 130.03 68.65
7.46 9 7.8 69.09
8.12 9 16.27 68.95
8.12 9 24.75 68.81
102.33 10 66.61 68.9
7.24 11 9.16 69.15
116.14 12 65.43 69.04
8.07 13 8.85 69.09
8.12 13 17.33 68.72
107.92 14 65.02 68.94
7.75 15 8.1 68.94
8.33 15 16.79 68.8
87.39 15 108.07 68.61
26.75 17 5.97 69.11
108.18 17 118.96 68.72
16.84 6 6.51 69.06
8.12 6 14.99 69.06
8.11 6 23.46 68.82
79.34 7 41.31 69.08
53.68 7 97.37 68.66
36.53 9 5.49 69.43
7.63 9 13.46 69.0
8.93 9 22.79 69.0
9.09 9 32.28 68.52
94.47 10 65.92 68.94
7.23 11 8.46 68.9
85.87 11 98.14 68.52
35.62 13 5.31 68.94
16.32 13 22.36 68.56
107.01 15 4.08 69.16
6.73 15 11.11 68.97
8.12 15 19.59 68.77
65.15 15 87.62 68.57
46.41 17 6.06 69.15
7.96 5 14.38 68.73
83.42 5 101.49 68.26
92.01 7 67.55 69.05
6.73 8 9.57 69.03
8.13 8 18.06 69.03
8.13 8 26.55 69.03
98.18 9 64.07 69.0
7.04 10 6.4 69.32
7.9 10 14.66 69.01
8.12 10 23.13 68.82
103.07 11 65.76 68.75
7.38 12 8.45 69.01
117.61 13 66.26 69.01
7.96 14 9.56 69.42
7.55 14 17.44 69.02
7.35 14 25.12 69.02
100.46 14 130.03 68.6
6.68 16 6.97 69.41
6.75 16 14.03 68.97
8.14 16 22.52 68.97
102.52 4 129.59 68.52
6.42 6 6.26 69.31
7.24 6 13.83 69.19
20.09 6 34.81 68.57
94.42 7 68.4 68.84
6.76 8 10.45 69.11
8.11 8 18.92 68.82
7.16 8 26.39 68.82
50.8 8 79.45 68.68
52.27 10 4.0 69.2
7.1 10 11.42 68.87
84.72 11 34.88 68.79
91.45 12 65.36 68.8
8.0 13 8.7 69.02
8.12 13 17.19 68.82
108.05 13 130.03 68.6
7.37 15 7.7 69.22
8.12 15 16.17 69.0
8.12 15 24.66 68.79
103.51 16 67.74 68.98
