interval_qps l0_files total_mem_size pending_bytes
62.25 11 130.03 49.44
0.0 11 130.03 49.44
62.25 9 130.03 49.55
62.25 10 130.03 49.75
0.0 10 130.03 49.75
62.25 11 130.03 49.87
62.25 12 130.03 50.07
0.0 12 130.03 50.07
62.25 13 130.03 50.19
10.63 14 76.12 49.86
51.63 14 130.03 49.86
62.25 15 130.03 49.89
108.62 17 113.44 50.2
15.82 17 130.03 50.2
62.25 18 130.03 50.31
62.25 19 130.03 50.43
0.0 19 130.03 50.43
0.0 19 130.03 50.43
0.0 19 130.03 50.43
0.0 19 130.03 50.43
62.25 13 130.03 50.54
62.25 14 130.03 50.74
0.0 14 130.03 50.74
62.25 15 130.03 50.76
0.0 15 130.03 50.76
0.0 15 130.03 50.76
0.0 15 130.03 50.76
62.25 13 130.03 50.88
23.43 14 89.48 51.08
38.83 14 130.03 51.08
62.26 15 130.03 51.1
0.0 15 130.03 51.1
0.0 15 130.03 51.1
48.27 13 115.43 51.22
27.59 14 79.3 51.42
48.58 14 130.03 51.42
62.25 15 130.03 51.54
0.0 15 130.03 51.54
62.25 16 130.03 51.65
0.0 16 130.03 51.65
0.0 16 130.03 51.65
0.0 16 130.03 51.65
62.25 14 130.03 51.77
54.66 15 122.1 51.97
7.59 15 130.03 51.97
0.0 15 130.03 51.97
0.0 15 130.03 51.97
0.0 15 130.03 51.97
0.0 16 65.02 52.17
62.26 16 130.03 52.17
62.25 14 130.03 52.28
3.49 15 68.66 52.48
58.77 15 130.03 52.48
62.25 16 130.03 52.69
24.46 17 90.56 52.71
37.79 17 130.03 52.71
0.0 17 130.03 52.71
0.0 17 130.03 52.71
0.0 17 130.03 52.71
62.25 14 130.03 52.91
18.07 15 83.89 53.02
44.18 15 130.03 53.02
62.25 16 130.03 53.23
0.0 16 130.03 53.23
62.25 17 130.03 53.34
0.0 17 130.03 53.34
0.0 17 130.03 53.34
62.26 14 130.03 53.46
0.0 14 130.03 53.46
62.26 15 130.03 53.66
62.25 16 130.03 53.86
62.26 17 130.03 53.88
0.0 17 130.03 53.88
0.0 17 130.03 53.88
62.25 15 130.03 54.09
62.26 16 130.03 54.2
124.51 18 130.03 54.6
0.0 18 130.03 54.6
0.0 18 130.03 54.6
0.0 19 65.02 54.81
62.25 19 130.03 54.81
62.25 17 130.03 54.91
0.0 17 130.03 54.91
56.18 15 123.69 55.11
6.07 15 130.03 55.11
62.25 16 130.03 55.32
62.25 17 130.03 55.43
22.57 18 88.58 55.54
39.69 18 130.03 55.54
0.0 18 130.03 55.54
62.25 16 130.03 55.65
0.0 16 130.03 55.65
62.25 17 130.03 55.86
0.0 17 130.03 55.86
62.25 18 130.03 56.06
62.25 19 130.03 56.08
0.0 19 130.03 56.08
0.0 19 130.03 56.08
0.0 19 130.03 56.08
55.62 17 123.1 56.28
6.64 17 130.03 56.28
62.26 18 130.03 56.4
62.25 19 130.03 56.6
7.64 21 7.98 56.82
7.42 21 15.73 56.82
61.89 18 80.36 56.82
48.5 19 66.0 57.03
61.31 19 130.03 57.03
1.09 20 66.15 57.23
8.13 20 74.64 57.23
7.62 21 17.58 57.34
8.59 21 26.56 57.25
8.13 21 35.05 57.25
8.12 21 43.53 57.25
82.83 17 130.03 57.25
2.31 18 67.43 57.45
59.94 18 130.03 57.45
62.25 19 130.03 57.56
2.73 20 67.86 57.77
8.14 20 76.36 57.77
8.12 20 84.84 57.77
7.32 21 27.47 57.97
6.5 21 34.26 57.97
6.5 21 41.06 57.97
6.5 21 47.85 57.97
6.5 21 54.64 57.97
11.03 17 66.16 57.86
61.16 17 130.03 57.86
0.0 17 130.03 57.86
62.26 15 130.03 58.06
7.73 16 73.09 58.27
54.52 16 130.03 58.27
22.23 17 88.23 58.47
40.02 17 130.03 58.47
62.25 18 130.03 58.58
0.0 18 130.03 58.58
0.62 19 65.66 58.7
61.64 16 130.03 58.69
62.26 17 130.03 58.9
0.0 17 130.03 58.9
62.25 18 130.03 59.1
62.26 19 130.03 59.3
4.12 20 69.32 59.32
7.14 21 11.76 59.53
6.72 18 18.79 59.53
120.08 19 79.18 59.73
49.93 20 66.51 59.93
7.63 21 9.46 60.13
6.5 21 16.25 60.13
42.31 18 60.44 60.13
66.62 19 65.02 60.33
63.8 20 66.64 60.54
7.72 21 9.68 60.74
6.51 21 16.48 60.74
6.5 21 23.27 60.74
6.5 21 30.06 60.74
6.5 21 36.85 60.74
6.5 21 43.63 60.74
6.5 21 50.42 60.74
6.51 21 57.22 60.74
5.54 21 63.01 60.74
39.77 18 39.53 60.93
148.92 19 130.03 61.13
0.0 19 130.03 61.13
62.25 17 130.03 61.34
84.91 19 88.68 61.74
40.96 20 66.44 61.94
8.13 20 74.93 61.94
52.76 18 65.02 62.14
124.51 19 130.03 62.34
7.33 21 7.66 62.75
6.5 21 14.45 62.75
121.55 19 76.37 62.95
55.07 20 68.86 63.15
6.86 21 11.02 63.35
6.5 21 17.81 63.35
6.5 21 24.6 63.35
5.88 21 30.74 63.35
7.93 21 39.02 63.35
6.51 21 45.82 63.35
80.64 18 130.03 63.35
62.88 20 65.67 63.75
8.12 20 74.15 63.75
8.13 20 82.64 63.75
113.49 19 71.14 64.15
59.68 20 68.44 64.35
6.94 21 10.68 64.55
6.5 21 17.46 64.55
96.86 18 118.62 64.55
74.63 20 66.52 64.95
7.64 21 9.48 65.15
5.95 21 15.69 65.15
7.06 21 23.07 65.15
77.67 18 104.19 65.15
87.0 19 130.03 65.35
5.21 20 70.45 65.55
6.98 21 12.73 65.76
6.5 21 19.52 65.76
6.51 21 26.31 65.76
